loan_id,age,income_monthly,loan_amount,loan_tenure_m,interest_rate,existing_loans,credit_score,employment_type,education,residence_type,delinquency_30d,utilisation_pct,months_employed,loan_purpose,emi,foir_pct,ltv_proxy,default
LN001232,51,15393,125072,36,21.8,2,729,Salaried,Under-Graduate,Family,1,17.6,252,Debt Consolidation,4764,30.95,0.6771,0
LN001233,43,30037,220560,24,17.33,1,414,Salaried,Under-Graduate,Own,1,67.8,18,Business,10940,36.42,0.6119,0
LN001234,31,24313,117354,60,18.94,4,395,Salaried,Graduate,Rented,2,15.6,253,Business,3040,12.5,0.4022,0
LN001235,44,56632,37702,60,17.47,0,833,Business,Graduate,Own,5,12.9,99,Education,947,1.67,0.0555,0
LN001236,33,28646,45238,24,20.68,0,659,Freelancer,Post-Graduate,Own,2,30.3,43,Education,2317,8.09,0.1316,0
LN001237,25,41796,97951,12,16.92,2,707,Self-Employed,Graduate,Own,5,1.1,177,Education,8930,21.37,0.1953,1
LN001238,31,25204,74688,12,27.59,4,565,Salaried,Post-Graduate,Rented,5,40.9,56,Medical,7193,28.54,0.2469,1
LN001239,41,24672,163186,84,25.84,4,708,Salaried,Professional,Rented,4,4.7,19,Personal,4219,17.1,0.5512,1
LN001240,28,35082,146771,60,24.77,1,547,Self-Employed,Under-Graduate,Rented,2,51.5,263,Business,4288,12.22,0.3486,1
LN001241,27,38759,55110,36,21.06,1,818,Salaried,Under-Graduate,Rented,4,60.0,160,Debt Consolidation,2078,5.36,0.1185,0
LN001242,45,47272,83148,36,17.01,4,573,Salaried,Post-Graduate,Rented,0,22.7,231,Business,2965,6.27,0.1466,0
LN001243,34,42489,45986,48,10.5,3,787,Salaried,Graduate,Rented,1,94.1,132,Education,1177,2.77,0.0902,0
LN001244,40,16762,142305,36,18.2,2,752,Salaried,Post-Graduate,Rented,0,62.6,106,Wedding,5159,30.78,0.7075,1
LN001245,27,41066,21596,12,19.1,1,479,Salaried,Under-Graduate,Rented,2,13.3,91,Home Improvement,1991,4.85,0.0438,0
LN001246,38,35982,243185,24,10.07,4,647,Business,Graduate,Rented,0,93.2,6,Wedding,11230,31.21,0.5632,0
LN001247,45,19828,284480,84,13.01,1,593,Salaried,Under-Graduate,Rented,1,14.3,264,Debt Consolidation,5177,26.11,1.1956,0
LN001248,34,33964,15911,36,25.76,0,320,Self-Employed,Graduate,Family,3,26.0,6,Education,639,1.88,0.039,1
LN001249,38,32054,184191,60,8.67,4,563,Salaried,Graduate,Own,0,55.1,283,Education,3794,11.84,0.4789,0
LN001250,22,46544,256994,72,26.47,2,615,Salaried,Post-Graduate,Family,4,77.0,152,Vehicle,7156,15.37,0.4601,0
LN001251,49,27867,104085,60,16.43,1,786,Salaried,Post-Graduate,Own,2,68.3,241,Vehicle,2555,9.17,0.3113,0
LN001252,21,12267,50756,36,27.09,2,356,Business,Graduate,Own,5,98.2,155,Wedding,2075,16.92,0.3448,1
LN001253,62,11786,172338,24,24.5,0,742,Freelancer,Graduate,Family,3,68.7,264,Debt Consolidation,9155,77.68,1.2185,0
LN001254,49,19208,27135,60,12.13,3,382,Salaried,Graduate,Own,4,65.1,178,Business,605,3.15,0.1177,0
LN001255,30,17182,198519,60,27.45,1,660,Freelancer,Graduate,Rented,2,80.3,88,Wedding,6115,35.59,0.9628,0
LN001256,50,26210,95286,48,22.1,0,363,Freelancer,Graduate,Family,1,92.7,174,Business,3007,11.47,0.303,0
LN001257,30,23078,148222,84,25.81,2,552,Salaried,Graduate,Rented,5,17.1,24,Debt Consolidation,3829,16.59,0.5352,1
LN001258,48,23952,391207,36,18.33,0,618,Salaried,Post-Graduate,Family,2,19.5,48,Personal,14208,59.32,1.3611,0
LN001259,31,45913,299724,24,10.91,0,587,Freelancer,Professional,Rented,3,31.4,171,Debt Consolidation,13957,30.4,0.544,0
LN001260,23,34985,223191,84,16.03,3,824,Salaried,Under-Graduate,Family,2,53.7,284,Vehicle,4437,12.68,0.5316,0
LN001261,25,13854,51783,24,21.49,1,447,Salaried,Post-Graduate,Rented,3,35.1,138,Personal,2673,19.29,0.3115,0
LN001262,35,61696,83951,60,9.37,3,373,Salaried,Under-Graduate,Rented,0,78.6,103,Business,1758,2.85,0.1134,1
LN001263,60,64676,155879,72,14.84,0,352,Freelancer,Post-Graduate,Rented,5,87.1,163,Debt Consolidation,3283,5.08,0.2008,1
LN001264,44,12652,105777,12,13.91,4,666,Self-Employed,Professional,Rented,1,94.5,170,Home Improvement,9493,75.03,0.6967,0
LN001265,35,35226,59184,12,25.2,1,753,Business,Post-Graduate,Rented,3,22.1,38,Education,5631,15.99,0.14,0
LN001266,38,44250,237368,84,25.72,4,721,Salaried,Post-Graduate,Rented,2,47.3,190,Wedding,6118,13.83,0.447,1
LN001267,29,49043,175388,60,12.94,2,579,Salaried,Graduate,Rented,1,28.2,274,Vehicle,3985,8.13,0.298,0
LN001268,35,11212,211501,60,23.23,0,838,Business,Post-Graduate,Family,0,80.9,48,Business,5990,53.42,1.572,0
LN001269,62,25502,183262,60,10.87,0,663,Business,Professional,Rented,1,27.6,41,Personal,3973,15.58,0.5988,0
LN001270,63,22880,88666,36,12.8,2,444,Business,Graduate,Rented,1,65.0,287,Home Improvement,2979,13.02,0.3229,0
LN001271,35,26411,141162,84,23.19,1,567,Self-Employed,Under-Graduate,Own,4,71.1,55,Personal,3411,12.92,0.4454,0
LN001272,38,17499,222294,12,26.72,3,338,Salaried,Graduate,Rented,0,46.4,3,Home Improvement,21314,121.8,1.0586,1
LN001273,30,9100,73442,84,15.72,0,424,Salaried,Post-Graduate,Own,0,69.0,289,Debt Consolidation,1447,15.9,0.6725,0
LN001274,56,18711,48008,48,25.02,0,718,Business,Graduate,Own,1,94.0,280,Personal,1592,8.51,0.2138,0
LN001275,37,13483,42313,24,20.87,3,753,Self-Employed,Graduate,Rented,3,38.3,254,Education,2172,16.11,0.2615,0
LN001276,42,23534,88811,12,23.28,0,803,Salaried,Post-Graduate,Own,3,15.3,48,Personal,8367,35.55,0.3145,0
LN001277,55,24894,134250,48,15.11,4,381,Self-Employed,Graduate,Own,1,74.9,136,Medical,3744,15.04,0.4494,1
LN001278,57,21934,249904,24,25.55,2,314,Self-Employed,Graduate,Own,5,13.3,50,Debt Consolidation,13407,61.12,0.9495,1
LN001279,28,17684,172024,72,18.6,1,648,Business,Professional,Family,5,55.0,123,Home Improvement,3982,22.52,0.8106,0
LN001280,30,31220,164539,84,13.18,3,398,Self-Employed,Graduate,Own,1,68.8,153,Business,3009,9.64,0.4392,0
LN001281,58,24862,63620,48,27.02,2,666,Self-Employed,Graduate,Own,3,17.6,89,Debt Consolidation,2182,8.78,0.2132,0
LN001282,23,14692,63001,60,9.37,4,415,Freelancer,Under-Graduate,Rented,5,44.8,250,Vehicle,1319,8.98,0.3573,1
LN001283,37,42984,169121,36,15.26,4,725,Self-Employed,Under-Graduate,Own,3,31.1,2,Vehicle,5884,13.69,0.3279,0
LN001284,38,26188,25542,24,8.74,0,493,Salaried,Professional,Rented,3,81.0,295,Vehicle,1164,4.44,0.0813,1
LN001285,37,45594,32688,72,19.11,2,502,Business,Under-Graduate,Rented,3,95.7,90,Medical,766,1.68,0.0597,0
LN001286,56,19977,68351,48,13.57,2,570,Self-Employed,Under-Graduate,Own,1,27.9,250,Vehicle,1853,9.28,0.2851,0
LN001287,32,63174,122908,24,25.74,3,461,Self-Employed,Graduate,Rented,5,10.7,180,Home Improvement,6606,10.46,0.1621,1
LN001288,45,21552,181230,84,17.64,0,715,Self-Employed,Graduate,Rented,1,72.3,61,Business,3771,17.5,0.7007,0
LN001289,30,19011,41715,84,16.04,0,404,Salaried,Post-Graduate,Rented,0,75.3,269,Wedding,829,4.36,0.1829,0
LN001290,42,37424,69982,72,9.45,2,309,Salaried,Post-Graduate,Rented,3,75.4,200,Debt Consolidation,1277,3.41,0.1558,0
LN001291,38,16521,71305,24,25.08,0,621,Salaried,Under-Graduate,Rented,1,68.6,209,Personal,3809,23.06,0.3597,0
LN001292,61,28455,18977,36,9.13,1,833,Salaried,Post-Graduate,Rented,4,0.2,186,Debt Consolidation,605,2.13,0.0556,0
LN001293,34,48967,58351,36,19.47,4,608,Business,Post-Graduate,Own,0,73.9,199,Personal,2153,4.4,0.0993,0
LN001294,41,15053,628599,48,19.56,2,833,Business,Under-Graduate,Rented,3,0.7,286,Medical,18981,126.09,3.4799,0
LN001295,38,96640,59124,60,9.45,2,769,Salaried,Graduate,Rented,1,81.2,29,Business,1240,1.28,0.051,0
LN001296,57,40305,223192,72,18.57,3,324,Self-Employed,Graduate,Rented,0,33.3,220,Business,5163,12.81,0.4615,1
LN001297,23,19648,112042,36,26.09,4,618,Self-Employed,Under-Graduate,Own,3,98.2,192,Wedding,4520,23.0,0.4752,1
LN001298,25,13280,47474,84,21.74,4,544,Self-Employed,Graduate,Rented,2,20.6,185,Business,1105,8.32,0.2979,1
LN001299,31,26602,54157,12,17.64,1,410,Freelancer,Post-Graduate,Rented,1,48.5,217,Business,4956,18.63,0.1697,0
LN001300,54,20654,90644,48,9.56,2,303,Freelancer,Post-Graduate,Family,2,97.6,49,Debt Consolidation,2280,11.04,0.3657,1
LN001301,37,33853,86554,60,26.28,0,328,Salaried,Graduate,Own,0,81.3,66,Vehicle,2606,7.7,0.2131,0
LN001302,28,27213,100576,60,27.54,3,443,Salaried,Graduate,Own,3,36.5,195,Education,3104,11.41,0.308,0
LN001303,32,50058,146354,84,26.03,2,738,Business,Graduate,Own,3,92.8,201,Home Improvement,3801,7.59,0.2436,1
LN001304,37,56140,84279,36,10.3,2,564,Business,Graduate,Own,3,18.1,167,Home Improvement,2731,4.86,0.1251,0
LN001305,33,19179,24639,72,21.77,2,787,Salaried,Professional,Rented,2,29.3,93,Business,616,3.21,0.1071,0
LN001306,57,29821,45262,72,24.57,1,779,Salaried,Graduate,Rented,5,69.1,252,Personal,1207,4.05,0.1265,0
LN001307,56,21040,35762,36,16.45,4,542,Freelancer,Graduate,Own,5,93.4,253,Personal,1265,6.01,0.1416,0
LN001308,37,40829,195935,72,18.41,3,716,Freelancer,Graduate,Rented,3,95.3,170,Wedding,4514,11.06,0.3999,0
LN001309,51,29468,93238,36,23.58,4,344,Salaried,Graduate,Own,0,90.1,50,Personal,3637,12.34,0.2637,0
LN001310,23,23966,141450,12,20.23,1,572,Salaried,Graduate,Rented,1,11.6,63,Medical,13119,54.74,0.4918,0
LN001311,31,21011,333666,24,10.85,3,462,Self-Employed,Professional,Own,5,30.2,114,Medical,15528,73.9,1.3234,1
LN001312,32,29558,55161,48,8.69,2,511,Freelancer,Graduate,Own,0,27.2,20,Home Improvement,1365,4.62,0.1555,0
LN001313,38,18101,57916,84,20.26,4,436,Salaried,Under-Graduate,Rented,4,86.2,234,Wedding,1295,7.15,0.2666,1
LN001314,52,35273,63269,24,17.05,3,826,Self-Employed,Under-Graduate,Own,5,26.6,238,Home Improvement,3130,8.87,0.1495,1
LN001315,61,31138,68821,12,11.3,4,655,Salaried,Post-Graduate,Rented,0,95.6,233,Home Improvement,6092,19.56,0.1842,1
LN001316,43,11174,16243,84,13.43,0,435,Salaried,Graduate,Family,0,22.1,17,Medical,299,2.68,0.1211,0
LN001317,38,23775,19604,60,16.25,0,775,Business,Under-Graduate,Rented,4,3.6,33,Education,479,2.01,0.0687,0
LN001318,38,51579,124672,36,19.82,1,645,Salaried,Under-Graduate,Family,4,90.9,90,Home Improvement,4622,8.96,0.2014,1
LN001319,57,19433,32125,36,9.17,4,761,Salaried,Professional,Own,0,5.8,95,Education,1024,5.27,0.1378,0
LN001320,62,45553,84196,72,14.73,1,409,Freelancer,Post-Graduate,Own,0,9.5,87,Personal,1768,3.88,0.154,0
LN001321,54,19097,59439,72,20.49,1,726,Business,Post-Graduate,Own,2,44.3,55,Business,1441,7.55,0.2594,1
LN001322,50,36415,76148,24,18.9,3,702,Freelancer,Under-Graduate,Rented,0,67.0,276,Debt Consolidation,3835,10.53,0.1743,0
LN001323,33,22715,127218,60,10.8,3,763,Salaried,Post-Graduate,Own,2,32.3,62,Personal,2753,12.12,0.4667,0
LN001324,34,32076,108221,12,22.14,2,314,Salaried,Under-Graduate,Rented,4,0.2,165,Business,10136,31.6,0.2812,1
LN001325,50,26494,92390,84,17.76,1,577,Salaried,Post-Graduate,Family,1,54.3,179,Home Improvement,1929,7.28,0.2906,0
LN001326,55,19951,188686,72,16.69,1,545,Business,Graduate,Rented,3,34.8,11,Debt Consolidation,4165,20.88,0.7881,0
LN001327,34,24999,251222,84,11.99,1,388,Salaried,Post-Graduate,Rented,4,86.4,170,Wedding,4433,17.73,0.8374,1
LN001328,55,23108,548433,72,10.45,3,347,Salaried,Graduate,Own,2,12.4,40,Home Improvement,10285,44.51,1.9778,1
LN001329,49,35266,261987,36,12.27,2,301,Business,Under-Graduate,Own,3,53.4,11,Medical,8736,24.77,0.6191,0
LN001330,34,9954,120560,84,27.23,4,636,Self-Employed,Graduate,Rented,3,77.0,21,Wedding,3226,32.41,1.0093,1
LN001331,21,13638,54007,36,24.98,0,636,Salaried,Under-Graduate,Own,5,73.7,297,Debt Consolidation,2147,15.74,0.33,0
LN001332,48,20732,75094,12,21.49,4,842,Self-Employed,Graduate,Rented,1,57.4,17,Education,7010,33.81,0.3018,0
LN001333,26,28190,116364,36,27.5,2,647,Self-Employed,Professional,Rented,0,23.2,127,Education,4782,16.96,0.344,0
LN001334,57,34982,78590,84,11.22,2,454,Self-Employed,Graduate,Rented,3,73.6,142,Education,1355,3.87,0.1872,1
LN001335,39,47841,52937,36,11.87,2,442,Salaried,Graduate,Own,2,3.7,134,Vehicle,1755,3.67,0.0922,0
LN001336,45,12676,50621,84,20.41,4,602,Salaried,Graduate,Family,0,26.6,222,Home Improvement,1137,8.97,0.3328,0
LN001337,36,56347,313346,36,20.98,1,494,Freelancer,Professional,Rented,4,62.6,113,Education,11802,20.95,0.4634,0
LN001338,44,14489,170563,72,27.89,1,550,Salaried,Graduate,Rented,5,53.9,63,Wedding,4902,33.83,0.981,1
LN001339,35,23105,36478,48,22.02,1,508,Salaried,Graduate,Rented,4,21.7,78,Personal,1150,4.98,0.1316,0
LN001340,58,37036,198888,84,12.54,4,459,Self-Employed,Post-Graduate,Rented,5,18.1,43,Medical,3569,9.64,0.4475,1
LN001341,30,77388,92044,36,27.98,4,372,Salaried,Graduate,Own,4,1.3,293,Debt Consolidation,3806,4.92,0.0991,1
LN001342,47,23349,95983,84,27.11,1,519,Salaried,Graduate,Rented,3,88.6,243,Medical,2560,10.96,0.3426,0
LN001343,23,24690,22687,12,14.91,4,676,Salaried,Graduate,Own,5,69.8,262,Medical,2047,8.29,0.0766,0
LN001344,59,31300,28929,72,15.54,1,624,Self-Employed,Graduate,Rented,0,19.5,139,Home Improvement,620,1.98,0.077,1
LN001345,44,37937,43068,72,17.83,2,485,Self-Employed,Under-Graduate,Rented,4,12.5,195,Debt Consolidation,978,2.58,0.0946,0
LN001346,56,19325,194596,84,22.1,3,755,Self-Employed,Graduate,Own,5,53.6,26,Debt Consolidation,4571,23.65,0.8391,0
LN001347,24,46262,102720,36,13.07,3,757,Self-Employed,Graduate,Rented,1,40.3,11,Wedding,3465,7.49,0.185,1
LN001348,52,11955,62133,36,19.87,1,382,Salaried,Graduate,Family,2,79.6,155,Home Improvement,2305,19.28,0.4331,0
LN001349,23,33471,44331,84,13.83,1,561,Business,Professional,Family,2,36.9,187,Personal,827,2.47,0.1104,0
LN001350,52,29544,105517,12,23.37,4,360,Self-Employed,Graduate,Rented,3,65.4,164,Personal,9946,33.67,0.2976,0
LN001351,33,28229,182790,12,8.99,1,824,Business,Under-Graduate,Family,4,81.5,135,Education,15984,56.62,0.5396,1
LN001352,35,57948,38388,60,13.91,1,674,Salaried,Graduate,Family,2,21.4,254,Home Improvement,891,1.54,0.0552,0
LN001353,55,30919,334218,48,12.64,3,502,Salaried,Graduate,Own,4,31.4,14,Debt Consolidation,8907,28.81,0.9008,1
LN001354,53,26130,36675,12,20.32,2,584,Salaried,Graduate,Own,4,73.7,8,Medical,3403,13.02,0.117,1
LN001355,23,47366,196974,60,10.58,1,654,Salaried,Under-Graduate,Rented,3,17.9,254,Business,4242,8.96,0.3465,0
LN001356,38,53858,619739,60,13.34,3,587,Self-Employed,Under-Graduate,Own,2,26.0,152,Medical,14209,26.38,0.9589,0
LN001357,29,29630,55316,24,14.76,4,546,Salaried,Under-Graduate,Own,2,27.1,170,Education,2676,9.03,0.1556,0
LN001358,45,27814,238282,24,24.26,4,420,Freelancer,Graduate,Own,2,26.3,66,Debt Consolidation,12629,45.41,0.7139,0
LN001359,44,17408,143766,48,14.6,3,559,Self-Employed,Graduate,Own,0,99.1,241,Debt Consolidation,3972,22.82,0.6882,0
LN001360,30,29021,62715,12,12.92,2,502,Salaried,Professional,Own,5,8.7,28,Home Improvement,5599,19.29,0.1801,1
LN001361,25,38305,33231,60,11.09,3,832,Salaried,Post-Graduate,Family,0,26.5,272,Business,724,1.89,0.0723,0
LN001362,36,27424,26052,60,17.22,0,636,Business,Post-Graduate,Own,5,21.4,50,Medical,651,2.37,0.0792,0
LN001363,39,13215,41037,84,17.25,2,636,Salaried,Graduate,Rented,4,35.2,93,Vehicle,845,6.39,0.2588,0
LN001364,53,18377,114797,60,25.49,4,800,Self-Employed,Graduate,Own,1,41.8,112,Wedding,3403,18.52,0.5206,0
LN001365,44,14280,86562,84,27.3,1,470,Freelancer,Professional,Own,2,31.3,267,Business,2320,16.25,0.5051,0
LN001366,55,38092,31462,72,26.79,3,690,Salaried,Graduate,Rented,2,72.5,51,Vehicle,882,2.32,0.0688,0
LN001367,53,33050,62439,48,19.43,1,799,Salaried,Graduate,Rented,1,13.1,247,Education,1881,5.69,0.1574,0
LN001368,49,14220,44641,12,20.27,0,751,Salaried,Graduate,Own,1,81.6,99,Personal,4141,29.12,0.2616,0
LN001369,39,51691,221616,12,16.21,3,348,Salaried,Graduate,Family,0,30.4,3,Business,20129,38.94,0.3573,0
LN001370,60,32687,263195,60,16.19,4,730,Self-Employed,Graduate,Rented,2,33.6,119,Vehicle,6427,19.66,0.671,0
LN001371,40,26071,121900,36,17.57,0,497,Self-Employed,Graduate,Rented,5,73.3,29,Education,4381,16.8,0.3896,0
LN001372,45,13651,163403,36,10.01,2,481,Salaried,Graduate,Rented,1,56.0,296,Debt Consolidation,5273,38.63,0.9975,0
LN001373,31,27207,176457,12,23.91,1,475,Salaried,Post-Graduate,Family,3,38.9,192,Vehicle,16678,61.3,0.5405,0
LN001374,25,45695,140915,12,25.98,4,570,Salaried,Professional,Rented,4,41.5,227,Medical,13460,29.46,0.257,1
LN001375,58,36626,21069,72,14.02,1,323,Self-Employed,Post-Graduate,Family,2,31.4,180,Debt Consolidation,434,1.18,0.0479,0
LN001376,62,7946,391979,36,22.72,0,344,Salaried,Graduate,Own,0,3.4,22,Medical,15116,190.23,4.1109,0
LN001377,63,23202,110625,24,19.72,2,347,Salaried,Professional,Rented,4,29.8,201,Personal,5615,24.2,0.3973,1
LN001378,38,29284,54146,12,19.47,2,595,Business,Graduate,Family,2,94.6,212,Education,5002,17.08,0.1541,0
LN001379,37,17383,208578,24,16.23,1,756,Salaried,Graduate,Own,5,34.7,6,Home Improvement,10236,58.89,0.9999,1
LN001380,52,20682,62043,48,13.94,4,663,Self-Employed,Graduate,Rented,0,87.5,39,Business,1694,8.19,0.25,0
LN001381,57,35944,72762,48,19.23,1,340,Self-Employed,Professional,Own,4,40.5,183,Medical,2184,6.08,0.1687,0
LN001382,26,54494,264510,60,23.77,1,416,Business,Under-Graduate,Rented,2,83.6,265,Education,7574,13.9,0.4045,0
LN001383,27,40746,143464,12,14.44,3,507,Business,Graduate,Rented,1,81.3,70,Vehicle,12911,31.69,0.2934,0
LN001384,49,58124,107848,84,13.78,3,782,Self-Employed,Under-Graduate,Own,5,18.7,217,Vehicle,2008,3.45,0.1546,1
LN001385,56,25964,324558,48,13.25,0,619,Freelancer,Graduate,Own,4,9.9,296,Education,8747,33.69,1.0417,0
LN001386,41,28591,30162,36,15.1,2,338,Self-Employed,Under-Graduate,Family,0,76.6,28,Vehicle,1047,3.66,0.0879,0
LN001387,50,11833,151904,60,24.72,2,663,Self-Employed,Under-Graduate,Rented,5,29.7,183,Medical,4434,37.47,1.0698,1
LN001388,24,32291,59372,72,20.43,1,387,Self-Employed,Graduate,Family,2,65.8,134,Debt Consolidation,1437,4.45,0.1532,0
LN001389,25,32664,244863,60,11.21,4,538,Salaried,Under-Graduate,Rented,4,63.8,104,Home Improvement,5350,16.38,0.6247,0
LN001390,33,31568,125121,36,22.61,1,732,Self-Employed,Graduate,Own,1,24.3,220,Vehicle,4818,15.26,0.3303,0
LN001391,42,24095,38604,60,11.36,2,603,Salaried,Under-Graduate,Rented,2,69.9,241,Business,846,3.51,0.1335,0
LN001392,42,20398,407881,60,17.86,3,782,Business,Graduate,Family,0,16.7,258,Home Improvement,10326,50.62,1.6663,0
LN001393,42,26894,67668,24,12.63,0,819,Salaried,Post-Graduate,Rented,2,84.7,289,Wedding,3205,11.92,0.2097,0
LN001394,46,48484,38733,72,13.65,0,714,Salaried,Post-Graduate,Rented,3,35.6,250,Business,791,1.63,0.0666,0
LN001395,57,13400,177328,60,15.13,1,505,Salaried,Post-Graduate,Rented,3,17.0,179,Medical,4231,31.57,1.1028,0
LN001396,36,27031,92866,72,26.88,1,414,Salaried,Graduate,Own,4,19.4,240,Debt Consolidation,2610,9.66,0.2863,0
LN001397,21,45956,289235,84,19.23,1,774,Salaried,Post-Graduate,Own,5,68.8,283,Wedding,6289,13.68,0.5245,0
LN001398,22,19161,91748,84,10.88,0,748,Salaried,Post-Graduate,Rented,2,19.9,140,Personal,1565,8.17,0.399,0
LN001399,42,29331,10574,84,22.79,4,846,Business,Professional,Rented,0,50.2,100,Personal,253,0.86,0.03,0
LN001400,49,30922,223928,24,15.26,2,440,Salaried,Post-Graduate,Rented,4,66.3,2,Business,10885,35.2,0.6035,0
LN001401,32,11585,135444,72,16.14,2,600,Freelancer,Graduate,Rented,3,85.4,78,Wedding,2948,25.45,0.9743,0
LN001402,53,47008,99081,72,11.93,0,676,Salaried,Under-Graduate,Rented,5,79.7,134,Debt Consolidation,1933,4.11,0.1756,1
LN001403,47,62969,150429,84,12.81,0,473,Self-Employed,Professional,Own,2,32.3,257,Business,2721,4.32,0.1991,0
LN001404,25,87377,86266,72,18.08,4,815,Salaried,Graduate,Rented,5,9.3,130,Wedding,1971,2.26,0.0823,0
LN001405,33,15445,157227,48,18.45,4,846,Self-Employed,Under-Graduate,Family,4,9.8,146,Wedding,4656,30.15,0.8483,1
LN001406,28,26870,189253,84,13.09,1,601,Salaried,Professional,Family,0,78.9,2,Vehicle,3452,12.85,0.5869,1
LN001407,57,30064,45934,84,17.12,4,335,Salaried,Post-Graduate,Rented,3,68.2,61,Home Improvement,942,3.13,0.1273,0
LN001408,43,30667,187591,24,14.91,4,657,Salaried,Graduate,Own,0,3.3,172,Personal,9088,29.63,0.5098,0
LN001409,21,15504,74643,12,16.09,3,813,Salaried,Post-Graduate,Own,5,0.8,182,Medical,6776,43.7,0.4012,1
LN001410,38,12881,131445,84,25.18,4,589,Freelancer,Under-Graduate,Rented,3,34.7,109,Debt Consolidation,3342,25.95,0.8504,1
LN001411,57,24321,27947,84,13.63,3,404,Salaried,Professional,Rented,5,68.5,210,Home Improvement,518,2.13,0.0958,0
LN001412,61,17968,40370,24,22.68,2,306,Salaried,Under-Graduate,Own,4,81.1,32,Business,2108,11.73,0.1872,1
LN001413,26,30455,343181,24,17.03,4,349,Salaried,Professional,Own,3,80.6,149,Business,16973,55.73,0.939,1
LN001414,44,23019,192660,60,10.99,1,489,Business,Graduate,Rented,5,87.1,160,Personal,4188,18.19,0.6975,0
LN001415,28,29707,13306,12,23.5,0,785,Freelancer,Graduate,Rented,4,50.7,199,Medical,1255,4.22,0.0373,0
LN001416,50,54190,102499,72,21.89,2,714,Self-Employed,Post-Graduate,Own,0,40.8,47,Home Improvement,2569,4.74,0.1576,0
LN001417,46,23358,190945,12,14.81,0,463,Business,Post-Graduate,Rented,1,56.7,162,Vehicle,17217,73.71,0.6812,0
LN001418,31,29511,43174,12,19.5,4,340,Salaried,Graduate,Rented,3,47.8,144,Vehicle,3989,13.52,0.1219,1
LN001419,45,26401,212732,36,26.84,1,649,Salaried,Graduate,Own,0,9.9,200,Medical,8667,32.83,0.6715,0
LN001420,21,18861,66266,84,22.92,2,847,Self-Employed,Under-Graduate,Rented,4,14.0,67,Personal,1590,8.43,0.2928,0
LN001421,24,57628,243815,12,26.18,3,325,Business,Professional,Rented,1,24.4,155,Wedding,23313,40.45,0.3526,0
LN001422,49,23341,30005,12,14.32,3,320,Salaried,Under-Graduate,Family,0,38.7,15,Wedding,2699,11.56,0.1071,0
LN001423,27,10345,59671,36,19.83,3,650,Salaried,Graduate,Family,1,70.1,99,Vehicle,2212,21.38,0.4807,0
LN001424,35,19986,33676,24,25.2,4,378,Salaried,Graduate,Own,4,44.0,35,Education,1801,9.01,0.1404,0
LN001425,48,20569,25239,84,21.25,2,379,Salaried,Post-Graduate,Rented,0,65.2,287,Education,580,2.82,0.1023,0
LN001426,34,11332,159449,60,17.6,4,682,Salaried,Graduate,Own,3,56.8,146,Medical,4014,35.42,1.1726,1
LN001427,55,12976,83433,36,25.55,0,745,Business,Graduate,Own,5,66.4,269,Personal,3342,25.76,0.5358,0
LN001428,43,23178,23968,36,22.1,4,692,Salaried,Graduate,Rented,2,8.7,253,Wedding,917,3.96,0.0862,0
LN001429,36,93260,231322,48,13.07,1,497,Business,Under-Graduate,Family,0,23.4,93,Home Improvement,6214,6.66,0.2067,0
LN001430,43,50843,118765,60,19.42,3,824,Business,Post-Graduate,Own,2,20.0,241,Education,3108,6.11,0.1947,0
LN001431,49,26254,52796,60,16.27,3,648,Self-Employed,Professional,Rented,4,35.7,47,Personal,1291,4.92,0.1676,1
LN001432,55,19966,87186,60,19.82,2,396,Salaried,Post-Graduate,Rented,2,46.8,126,Wedding,2301,11.52,0.3639,0
LN001433,60,14234,36798,12,21.36,2,421,Salaried,Graduate,Own,4,1.8,198,Wedding,3433,24.12,0.2154,1
LN001434,39,49103,150570,36,14.16,2,408,Freelancer,Graduate,Own,2,53.6,270,Debt Consolidation,5158,10.5,0.2555,1
LN001435,64,27555,61346,72,10.9,1,411,Business,Graduate,Family,5,81.1,139,Education,1165,4.23,0.1855,1
LN001436,35,19058,217535,12,14.05,0,459,Self-Employed,Post-Graduate,Own,3,34.4,10,Medical,19537,102.51,0.9512,0
LN001437,26,28978,50055,72,26.17,2,837,Salaried,Graduate,Own,4,81.9,23,Debt Consolidation,1384,4.78,0.1439,1
LN001438,51,29621,479313,72,9.14,3,408,Business,Post-Graduate,Rented,2,26.3,261,Medical,8673,29.28,1.3485,0
LN001439,22,61792,166984,60,20.57,3,526,Freelancer,Graduate,Rented,4,59.6,188,Wedding,4477,7.25,0.2252,1
LN001440,43,21088,132065,24,25.45,3,837,Business,Post-Graduate,Rented,1,83.0,273,Vehicle,7078,33.56,0.5219,1
LN001441,62,12865,77461,48,23.01,0,426,Salaried,Post-Graduate,Rented,1,70.5,24,Medical,2483,19.3,0.5018,0
LN001442,34,37533,69524,84,12.1,3,845,Salaried,Professional,Rented,2,94.4,188,Vehicle,1231,3.28,0.1544,0
LN001443,50,19483,68338,60,15.11,0,372,Salaried,Post-Graduate,Rented,0,14.1,168,Business,1630,8.37,0.2923,0
LN001444,42,23460,15793,48,20.02,1,849,Salaried,Post-Graduate,Own,1,65.4,279,Medical,481,2.05,0.0561,0
LN001445,50,47928,50365,72,22.29,4,796,Salaried,Under-Graduate,Family,5,79.0,214,Education,1274,2.66,0.0876,1
